Lat [deg],Lon [deg],Alt Ellips [m]
42.16192902,-79.96888698,190.4829
42.16192253,-79.96890472,190.4764
42.16191603,-79.96892249,190.4698
42.16190949,-79.96894018,190.4706
42.161903,-79.968958,190.458
42.16189648,-79.96897574,190.4564
42.16188993,-79.96899356,190.459
42.1618834,-79.96901136,190.4598
42.16187684,-79.96902921,190.4568
42.16187032,-79.96904708,190.4476
42.16186378,-79.96906494,190.4336
42.16185722,-79.9690828,190.4258
42.16185067,-79.96910066,190.4171
42.16184409,-79.9691186,190.4113
42.16183751,-79.96913652,190.4046
42.16183092,-79.96915446,190.3966
42.16182435,-79.96917236,190.3937
42.16181772,-79.96919036,190.3926
42.16181108,-79.96920832,190.3812
42.16180444,-79.96922632,190.3728
42.16179779,-79.96924438,190.3737
42.16179114,-79.96926236,190.369
42.16178452,-79.9692804,190.3588
42.16177785,-79.96929849,190.3519
42.16177116,-79.96931654,190.3635
42.16176457,-79.96933472,190.3366
42.16175787,-79.9693528,190.332
42.16175118,-79.96937092,190.3314
42.1617445,-79.96938907,190.3261
42.16173783,-79.96940727,190.322
42.16173112,-79.9694255,190.3132
42.16172441,-79.96944375,190.3048
42.16171772,-79.96946199,190.2941
42.16171099,-79.96948024,190.2785
42.16170426,-79.96949849,190.2688
42.16169756,-79.96951679,190.2566
42.16169082,-79.9695351,190.2482
42.16168406,-79.96955343,190.244
42.1616773,-79.96957177,190.2336
42.16167055,-79.9695901,190.2202
42.16166381,-79.96960846,190.2119
42.16165708,-79.96962685,190.1981
42.16165034,-79.96964527,190.1872
42.16164362,-79.9696637,190.1741
42.16163686,-79.96968215,190.1614
42.1616301,-79.96970063,190.1527
42.16162332,-79.96971912,190.1332
42.16161654,-79.96973767,190.1255
42.16160978,-79.96975616,190.1127
42.16160302,-79.96977472,190.1066
42.1615962,-79.96979324,190.0933
42.16158939,-79.9698118,190.0827
42.16158261,-79.96983033,190.0722
42.16157581,-79.96984891,190.0678
42.16156894,-79.96986743,190.0652
42.16156216,-79.96988604,190.0457
42.16155534,-79.96990459,190.0444
42.16154853,-79.96992319,190.0365
42.16154169,-79.96994178,190.0269
42.16153484,-79.96996039,190.0215
42.16152799,-79.969979,190.0005
42.16152112,-79.96999762,189.9848
42.16151426,-79.97001623,189.968
42.16150737,-79.9700349,189.9637
42.1615005,-79.97005355,189.9548
42.16149364,-79.97007217,189.945
42.16148677,-79.97009085,189.9325
42.16147987,-79.97010951,189.9264
42.16147296,-79.97012821,189.9246
42.16146605,-79.9701469,189.9157
42.16145916,-79.97016562,189.9061
42.16145225,-79.97018437,189.9002
42.16144536,-79.9702031,189.8871
42.16143848,-79.97022181,189.8831
42.16143159,-79.97024058,189.8789
42.16142469,-79.97025934,189.8745
42.1614178,-79.9702781,189.8747
42.16141089,-79.97029688,189.8719
42.16140394,-79.97031567,189.8682
42.16139703,-79.9703345,189.8608
42.1613901,-79.97035329,189.8725
42.16138323,-79.97037211,189.8519
42.16137632,-79.97039093,189.8579
42.16136936,-79.97040975,189.8642
42.16136242,-79.97042859,189.8612
42.16135549,-79.97044744,189.8609
42.16134856,-79.97046632,189.8532
42.16134163,-79.9704852,189.8494
42.16133469,-79.97050411,189.8509
42.16132773,-79.97052302,189.8437
42.16132077,-79.97054192,189.8403
42.1613138,-79.97056085,189.835
42.16130685,-79.9705798,189.8246
42.16129989,-79.97059874,189.8162
42.16129295,-79.97061771,189.8064
42.16128599,-79.97063668,189.8085
42.16127902,-79.97065566,189.8042
42.16127204,-79.97067463,189.794
42.16126507,-79.9706936,189.7853
42.16125811,-79.97071259,189.7803
42.16125116,-79.97073161,189.7788
42.16124419,-79.97075065,189.7754
42.16123721,-79.97076966,189.7665
42.16123023,-79.97078868,189.7606
42.16122329,-79.97080773,189.7523
42.16121633,-79.97082678,189.751
42.16120939,-79.97084588,189.7543
42.16120244,-79.97086496,189.7451
42.16119545,-79.97088406,189.7386
42.16118847,-79.97090315,189.7309
42.16118149,-79.97092222,189.7241
42.1611745,-79.97094132,189.7199
42.16116747,-79.97096046,189.7187
42.16116045,-79.9709796,189.7255
42.16115343,-79.97099875,189.7195
42.1611464,-79.97101792,189.714
42.16113937,-79.97103707,189.7134
42.16113237,-79.97105631,189.7109
42.16112535,-79.97107545,189.7027
42.16111832,-79.9710947,189.7065
42.16111125,-79.97111393,189.7029
42.16110424,-79.97113316,189.6913
42.1610972,-79.9711524,189.6859
42.16109015,-79.97117164,189.6795
42.16108309,-79.97119089,189.6726
